,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1828,bmw x1,Mumbai,2016,7000,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,27.75
1829,hyundai i20,Pune,2015,29000,Diesel,Manual,Second & Above,22.54,1396.0,88.73,5.0,7.0
1839,maruti ertiga,Delhi,2014,79870,Diesel,Manual,First,20.77,1248.0,88.76,7.0,5.35
1840,honda amaze,Delhi,2013,90000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.8
1844,maruti swift,Hyderabad,2017,2000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,8.2
1846,toyota innova,Pune,2013,255000,Diesel,Manual,Second & Above,12.99,2494.0,100.6,7.0,6.5
1851,hyundai xcent,Delhi,2015,54000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.7
1854,renault duster,Coimbatore,2015,65668,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.53
1855,bmw 3,Ahmedabad,2011,100000,Diesel,Automatic,Second & Above,22.69,1995.0,190.0,5.0,10.9
1860,volkswagen vento,Chennai,2013,720000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.9
1861,toyota fortuner,Delhi,2012,73000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,14.4
1863,bmw 5,Jaipur,2017,19543,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,40.5
1865,maruti ritz,Delhi,2014,32805,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.6
1866,volkswagen vento,Kochi,2016,44782,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.12
1867,honda city,Kochi,2016,55700,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.52
1868,audi a4,Delhi,2012,60000,Diesel,Automatic,Second & Above,15.2,1968.0,140.8,5.0,10.35
1870,toyota fortuner,Delhi,2011,60000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,10.85
1874,maruti ciaz,Delhi,2016,66000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,6.4
1875,toyota innova,Pune,2014,102418,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.1
1877,toyota innova,Kochi,2019,10601,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.65
1878,tata indica,Pune,2017,8200,Diesel,Manual,First,25.0,1396.0,69.0,5.0,4.4
1880,ford fiesta,Pune,2012,78000,Diesel,Manual,First,17.8,1399.0,68.0,5.0,2.8
1882,ford fiesta,Chennai,2006,89327,Diesel,Manual,Second & Above,17.8,1399.0,68.0,5.0,1.55
1891,maruti swift,Delhi,2014,62000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.75
1892,hyundai creta,Kochi,2017,37024,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,10.97
1895,ford figo,Jaipur,2010,90000,Diesel,Manual,Second & Above,20.0,1399.0,68.0,5.0,1.4
1900,audi a4,Coimbatore,2012,46913,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,16.11
1902,toyota fortuner,Ahmedabad,2017,15000,Diesel,Automatic,First,12.9,2755.0,174.5,7.0,30.0
1903,skoda octavia,Kolkata,2002,69000,Diesel,Manual,First,18.7,1896.0,66.0,5.0,1.6
1904,mercedes-benz new,Hyderabad,2012,41367,Diesel,Automatic,First,15.8,2148.0,170.0,5.0,18.49
1906,maruti swift,Hyderabad,2013,99595,Diesel,Manual,Second & Above,22.9,1248.0,74.0,5.0,4.75
1908,bmw 5,Delhi,2012,49000,Diesel,Automatic,Second & Above,16.73,2495.0,218.0,5.0,15.5
1913,audi a6,Kochi,2014,62012,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20.12
1915,honda jazz,Coimbatore,2016,45449,Diesel,Manual,First,27.3,1498.0,98.6,5.0,7.48
1918,audi a4,Kochi,2013,45330,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,13.19
1921,mahindra xuv500,Pune,2014,81000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.0
1923,ford ecosport,Kochi,2017,78526,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.09
1924,bmw 5,Coimbatore,2017,27313,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,48.63
1926,bmw x1,Coimbatore,2015,42265,Diesel,Automatic,Second & Above,20.68,1995.0,190.0,5.0,22.24
1928,hyundai creta,Ahmedabad,2016,55100,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,12.0
1929,audi a4,Chennai,2014,70000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,18.0
1932,ford ecosport,Mumbai,2017,26000,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.99
1933,volkswagen vento,Kolkata,2011,35000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.15
1935,mahindra scorpio,Ahmedabad,2016,98000,Diesel,Manual,First,15.4,1997.0,120.0,7.0,11.5
1936,hyundai i20,Coimbatore,2016,44487,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.3
1939,mahindra scorpio,Kolkata,2015,52373,Diesel,Manual,Second & Above,15.4,2179.0,120.0,7.0,8.5
1942,honda jazz,Hyderabad,2016,43000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,7.75
1943,mercedes-benz e-class,Mumbai,2013,45200,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,23.0
1944,mahindra xuv500,Mumbai,2016,41000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.75
1946,maruti swift,Coimbatore,2014,83274,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.79
1947,mercedes-benz new,Coimbatore,2017,32324,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,30.5
1953,hyundai creta,Pune,2017,44865,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.35
1956,hyundai i20,Hyderabad,2011,75000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,3.75
1958,hyundai verna,Bangalore,2018,75000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,7.75
1961,maruti vitara,Hyderabad,2016,41372,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.3
1962,toyota innova,Ahmedabad,2015,70000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.0
1965,mercedes-benz new,Chennai,2013,62000,Diesel,Automatic,Second & Above,14.84,2143.0,170.0,5.0,12.5
1966,maruti swift,Delhi,2015,51000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.74
1968,toyota fortuner,Kochi,2018,37713,Diesel,Automatic,Second & Above,12.55,2982.0,168.5,7.0,31.62
1970,ford ecosport,Kochi,2017,30453,Diesel,Manual,First,22.77,1498.0,98.59,5.0,8.45
1972,toyota fortuner,Chennai,2011,190000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.0
1977,renault duster,Kochi,2013,63295,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.09
1980,skoda rapid,Kolkata,2015,45000,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,4.25
1981,mercedes-benz new,Hyderabad,2013,21000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,23.5
1985,bmw 3,Chennai,2014,48000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,21.6
1986,volkswagen vento,Chennai,2011,173000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,4.0
1987,maruti swift,Pune,2018,12000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5.5
1988,land rover,Mumbai,2012,34000,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,19.25
1989,hyundai i20,Hyderabad,2012,71360,Diesel,Manual,First,21.9,1396.0,90.0,5.0,3.95
1992,maruti ertiga,Hyderabad,2012,82085,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.5
1994,toyota corolla,Coimbatore,2013,63854,Diesel,Manual,First,21.43,1364.0,86.79,5.0,7.12
1995,maruti vitara,Chennai,2018,3000,Diesel,Automatic,First,24.3,1248.0,88.5,5.0,11.25
1997,mahindra scorpio,Hyderabad,2015,120000,Diesel,Manual,First,15.4,2179.0,120.0,7.0,12.0
1999,mercedes-benz e-class,Pune,2001,121000,Diesel,Manual,First,15.0,2148.0,123.95847826488415,5.0,5.0
2001,skoda octavia,Pune,2008,88123,Diesel,Manual,First,18.7,1896.0,66.0,5.0,2.2
2003,bmw x1,Bangalore,2016,28143,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,28.5
2005,audi a4,Ahmedabad,2013,82002,Diesel,Automatic,Second & Above,16.55,1968.0,147.51,5.0,17.5
2007,hyundai verna,Kochi,2016,37451,Diesel,Manual,First,22.32,1582.0,126.3,5.0,6.64
2008,toyota innova,Hyderabad,2017,67000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,16.5
2015,maruti swift,Coimbatore,2014,44282,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.99
2018,maruti ciaz,Pune,2016,50000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.5
2022,mahindra scorpio,Kolkata,2013,75000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,6.29
2023,renault duster,Bangalore,2014,73557,Diesel,Manual,First,19.6,1461.0,108.45,5.0,7.75
2024,audi a4,Delhi,2012,44555,Diesel,Automatic,First,15.2,1968.0,140.8,5.0,13.5
2030,toyota innova,Mumbai,2016,25121,Diesel,Manual,First,13.68,2393.0,147.8,7.0,17.11
2031,toyota innova,Pune,2015,100000,Diesel,Manual,Second & Above,12.99,2494.0,100.6,7.0,10.25
2032,volkswagen polo,Kolkata,2011,66035,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.49
2034,ford ecosport,Hyderabad,2014,85670,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.25
2035,hyundai grand,Hyderabad,2015,35000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.88
2037,toyota innova,Hyderabad,2007,162000,Diesel,Manual,Second & Above,12.8,2494.0,102.0,8.0,4.8
2044,audi a4,Delhi,2013,67000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,14.5
2045,ford fiesta,Hyderabad,2009,55000,Diesel,Manual,Second & Above,17.8,1399.0,68.0,5.0,2.4
2049,mahindra scorpio,Jaipur,2013,72000,Diesel,Manual,First,10.5,2179.0,120.0,8.0,6.0
2050,mahindra scorpio,Mumbai,2014,83128,Diesel,Manual,First,15.4,2179.0,120.0,7.0,7.45
2052,renault duster,Ahmedabad,2013,58000,Diesel,Manual,Second & Above,19.01,1461.0,108.45,5.0,5.2
2055,toyota innova,Kochi,2015,59751,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.62
2058,renault duster,Kochi,2015,75863,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.7
2060,audi a4,Bangalore,2014,24000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,25.0
2064,hyundai creta,Chennai,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,11.9
2069,mahindra xuv500,Jaipur,2014,70669,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.0
2072,audi a6,Mumbai,2009,30000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,8.95
2076,honda city,Kolkata,2014,40000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,4.45
2078,audi a4,Jaipur,2011,105000,Diesel,Automatic,Second & Above,16.55,1968.0,140.0,5.0,14.5
2080,hyundai verna,Mumbai,2014,71000,Diesel,Automatic,Second & Above,19.08,1582.0,126.32,5.0,5.45
2084,audi a4,Mumbai,2013,45200,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,13.5
2087,maruti ciaz,Hyderabad,2016,46000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.45
2092,ford figo,Hyderabad,2013,71336,Diesel,Manual,First,20.0,1399.0,68.0,5.0,4.1
2093,toyota innova,Chennai,2006,196000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,6.25
2097,mercedes-benz e-class,Hyderabad,2013,85000,Diesel,Automatic,First,16.1,1950.0,194.0,5.0,21.0
2107,toyota etios,Hyderabad,2015,116000,Diesel,Manual,Second & Above,23.59,1364.0,67.05,5.0,5.8
2108,mahindra xuv500,Coimbatore,2016,41840,Diesel,Manual,First,15.1,2179.0,140.0,7.0,13.52
2109,toyota fortuner,Hyderabad,2015,19317,Diesel,Manual,First,13.0,2982.0,168.7,7.0,24.5
2112,hyundai creta,Jaipur,2015,83950,Diesel,Manual,First,19.67,1582.0,126.2,5.0,9.95
2114,audi a4,Hyderabad,2015,50000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,25.0
2118,mahindra xuv500,Delhi,2015,62000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,10.25
2121,mercedes-benz new,Coimbatore,2018,24465,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.45
2126,toyota innova,Pune,2007,170428,Diesel,Manual,Second & Above,12.8,2494.0,102.0,8.0,5.7
2128,audi q7,Hyderabad,2012,88000,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,36.5
2132,hyundai i20,Jaipur,2012,51000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,3.9
2134,toyota fortuner,Pune,2017,29000,Diesel,Automatic,First,12.9,2755.0,174.5,7.0,31.0
2136,bmw 3,Kolkata,2010,51000,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,7.75
2138,maruti ertiga,Delhi,2013,68000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,4.85
2139,land rover,Kochi,2016,29022,Diesel,Automatic,Second & Above,15.68,1999.0,177.0,5.0,34.08
2140,maruti ertiga,Chennai,2017,80000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.1
2144,ford endeavour,Mumbai,2010,78000,Diesel,Automatic,Second & Above,11.4,2953.0,153.86,7.0,5.34
2145,ford endeavour,Hyderabad,2018,14000,Diesel,Automatic,First,12.62,2198.0,158.0,7.0,31.99
2146,volkswagen vento,Bangalore,2011,80000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,4.75
2150,mahindra xuv500,Coimbatore,2016,67472,Diesel,Manual,First,16.0,2179.0,140.0,7.0,14.5
2151,maruti swift,Hyderabad,2013,84000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.65
2152,maruti ritz,Kolkata,2011,77400,Diesel,Manual,First,21.1,1248.0,73.9,5.0,2.5
2153,mercedes-benz new,Mumbai,2017,14470,Diesel,Automatic,First,19.71,2143.0,201.15,5.0,38.5
2154,renault duster,Kolkata,2014,52108,Diesel,Manual,First,19.01,1461.0,108.45,5.0,5.49
2156,toyota innova,Jaipur,2014,105044,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.75
2158,maruti sx4,Ahmedabad,2014,58000,Diesel,Manual,First,21.79,1248.0,88.73,5.0,4.5
2159,mahindra xuv500,Kochi,2014,49663,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.42
2162,ford fiesta,Pune,2008,117080,Diesel,Manual,Second & Above,17.8,1399.0,68.0,5.0,2.25
2164,maruti swift,Hyderabad,2010,86514,Diesel,Manual,First,17.8,1248.0,123.95847826488415,5.0,4.25
2165,audi a6,Coimbatore,2014,66882,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,25.02
2169,mahindra scorpio,Pune,2010,96813,Diesel,Manual,Second & Above,12.05,2179.0,120.0,8.0,5.5
2172,mahindra xuv500,Coimbatore,2016,67995,Diesel,Manual,First,16.0,2179.0,140.0,7.0,11.73
2175,honda amaze,Jaipur,2013,70961,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4.0
2178,land rover,Mumbai,2017,35000,Diesel,Automatic,First,18.0,2993.0,255.0,7.0,41.6
2182,toyota fortuner,Bangalore,2015,150386,Diesel,Manual,First,14.24,2755.0,174.5,7.0,23.0
2183,hyundai i20,Kolkata,2012,60000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,2.74
2184,ford figo,Hyderabad,2013,65000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,3.9
2185,maruti vitara,Ahmedabad,2017,80000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.0
2186,hyundai verna,Chennai,2012,92000,Diesel,Manual,Second & Above,22.32,1582.0,126.32,5.0,4.0
2188,maruti ritz,Coimbatore,2013,73278,Diesel,Manual,First,21.1,1248.0,73.9,5.0,5.05
2190,mercedes-benz e-class,Kochi,2016,46936,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,29.6
2191,renault duster,Jaipur,2015,55000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,6.5
2197,maruti sx4,Delhi,2011,75000,Diesel,Manual,First,21.5,1248.0,88.8,5.0,2.5
2198,ford fiesta,Ahmedabad,2013,96000,Diesel,Manual,Second & Above,23.5,1498.0,90.0,5.0,3.5
2201,mercedes-benz e-class,Bangalore,2005,54000,Diesel,Automatic,First,11.0,2987.0,198.5,5.0,10.0
2204,mahindra scorpio,Pune,2017,66988,Diesel,Automatic,First,15.4,2179.0,120.0,7.0,10.0
2209,bmw 5,Pune,2018,7000,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,46.0
2211,mercedes-benz new,Delhi,2013,40100,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,14.5
2215,hyundai i20,Ahmedabad,2009,68000,Diesel,Manual,Second & Above,23.0,1396.0,90.0,5.0,3.95
2216,skoda superb,Delhi,2012,83000,Diesel,Automatic,First,11.9,2496.0,163.2,5.0,6.75
2217,toyota corolla,Kochi,2013,81504,Diesel,Manual,First,21.43,1364.0,87.2,5.0,6.53
2218,toyota fortuner,Hyderabad,2015,73500,Diesel,Manual,First,13.0,2982.0,168.5,7.0,22.0
2224,toyota etios,Kochi,2016,36681,Diesel,Manual,First,23.59,1364.0,67.06,5.0,6.71
2225,mahindra xuv500,Ahmedabad,2014,67000,Diesel,Manual,Second & Above,15.1,2179.0,140.0,7.0,7.2
2227,ford ecosport,Kochi,2015,56409,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.63
2233,toyota innova,Hyderabad,2017,35358,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,22.99
2235,maruti ritz,Kolkata,2012,39772,Diesel,Manual,First,23.2,1248.0,73.94,5.0,2.85
2236,audi a6,Delhi,2014,58000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,18.5
2240,audi a4,Hyderabad,2014,60000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,24.0
2242,toyota fortuner,Hyderabad,2010,110000,Diesel,Manual,First,14.24,2755.0,174.5,7.0,13.7
2244,hyundai i20,Kochi,2015,64399,Diesel,Manual,First,21.9,1396.0,90.0,5.0,5.02
2246,volkswagen vento,Bangalore,2012,50000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.5
2250,hyundai creta,Hyderabad,2016,41713,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5
2251,honda city,Hyderabad,2017,46000,Diesel,Manual,First,25.6,1498.0,98.6,5.0,12.9
2257,toyota innova,Hyderabad,2016,121362,Diesel,Manual,First,13.68,2393.0,147.8,7.0,16.0
2258,bmw 5,Mumbai,2013,78000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,19.5
2260,bmw 5,Ahmedabad,2012,95000,Diesel,Automatic,Second & Above,22.48,1995.0,190.0,5.0,17.5
2261,ford fiesta,Hyderabad,2010,84000,Diesel,Manual,Second & Above,17.8,1399.0,68.0,5.0,2.41
2262,toyota etios,Bangalore,2012,58253,Diesel,Manual,Second & Above,23.59,1364.0,123.95847826488415,5.0,4.45
2263,land rover,Coimbatore,2014,64557,Diesel,Automatic,Second & Above,12.7,2179.0,187.7,5.0,29.93
2266,toyota fortuner,Jaipur,2009,149706,Diesel,Manual,First,11.5,2982.0,171.0,7.0,11.0
2272,ford figo,Pune,2011,95000,Diesel,Manual,Second & Above,20.0,1399.0,68.0,5.0,2.35
2273,honda amaze,Pune,2014,52000,Diesel,Manual,Second & Above,25.8,1498.0,98.6,5.0,4.1
2274,renault duster,Pune,2012,135000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,5.4
2275,ford ecosport,Delhi,2017,39000,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.45
2277,toyota fortuner,Mumbai,2010,140000,Diesel,Manual,First,14.24,2755.0,174.5,7.0,10.75
2283,maruti ciaz,Jaipur,2017,62691,Diesel,Manual,First,26.21,1248.0,88.5,5.0,7.5
2284,audi a4,Pune,2013,87000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,15.5
2288,audi a6,Bangalore,2011,50000,Diesel,Automatic,Second & Above,16.77,2967.0,241.38,5.0,21.0
2290,maruti swift,Kochi,2016,62192,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.22
2296,hyundai i20,Delhi,2014,55000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,5.64
2298,audi a4,Hyderabad,2011,85000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,13.95
2301,mahindra scorpio,Jaipur,2010,105000,Diesel,Manual,Second & Above,12.05,2179.0,120.0,8.0,5.21
2304,bmw x1,Delhi,2015,49000,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,22.99
2306,land rover,Hyderabad,2010,45000,Diesel,Automatic,First,14.7,2993.0,241.4,6.0,40.0
2310,maruti ciaz,Delhi,2016,38500,Diesel,Manual,Second & Above,28.09,1248.0,88.5,5.0,7.85
2313,volkswagen vento,Mumbai,2011,47000,Diesel,Manual,First,20.64,1498.0,108.5,5.0,3.25
2318,mahindra xuv500,Bangalore,2014,55000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.8
2319,mercedes-benz e-class,Coimbatore,2019,9312,Diesel,Automatic,First,18.0,2987.0,258.0,5.0,78.8
2324,ford ecosport,Chennai,2014,72563,Diesel,Manual,Second & Above,22.77,1498.0,98.59,5.0,5.0
2329,volkswagen polo,Jaipur,2015,63000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,5.11
2331,volkswagen vento,Chennai,2012,90906,Diesel,Manual,First,20.54,1598.0,103.6,5.0,4.25
2334,toyota fortuner,Ahmedabad,2016,88008,Diesel,Automatic,Second & Above,12.9,2755.0,174.5,7.0,22.5
2338,hyundai i20,Bangalore,2012,67000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,4.5
2339,honda amaze,Pune,2014,48000,Diesel,Manual,Second & Above,25.8,1498.0,98.6,5.0,4.5
2340,hyundai verna,Jaipur,2014,97000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,8.0
2342,volkswagen polo,Coimbatore,2015,56900,Diesel,Manual,First,20.14,1498.0,88.8,5.0,4.1
2345,maruti swift,Hyderabad,2014,85512,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.8
2347,ford ecosport,Bangalore,2013,36000,Diesel,Manual,Second & Above,22.7,1498.0,89.84,5.0,6.35
2348,mahindra xuv500,Delhi,2015,36096,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.85
2352,renault duster,Bangalore,2014,74500,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.95
2356,mercedes-benz new,Coimbatore,2008,50135,Diesel,Manual,First,15.8,2148.0,170.0,5.0,10.36
2358,hyundai verna,Kolkata,2013,47000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.35
2360,maruti swift,Delhi,2015,53503,Diesel,Manual,First,26.59,1248.0,74.0,5.0,5.0
2368,mahindra xuv500,Chennai,2011,143354,Diesel,Manual,Second & Above,16.0,1997.0,140.0,7.0,6.0
2372,maruti ritz,Jaipur,2009,73000,Diesel,Manual,Second & Above,21.1,1248.0,73.9,5.0,2.35
2373,volkswagen polo,Delhi,2012,74000,Diesel,Manual,Second & Above,22.07,1199.0,73.9,5.0,2.65
2381,maruti ciaz,Delhi,2017,25000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.3
2384,maruti vitara,Delhi,2017,40000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.85
2386,hyundai grand,Kolkata,2014,25135,Diesel,Manual,First,24.0,1120.0,70.0,5.0,3.75
2387,maruti ertiga,Delhi,2017,65000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,7.65
2389,mahindra xuv500,Coimbatore,2018,24500,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,16.52
2392,hyundai creta,Kolkata,2016,51000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,9.2
2393,toyota etios,Chennai,2012,150000,Diesel,Manual,Second & Above,23.59,1364.0,123.95847826488415,5.0,3.0
2395,ford endeavour,Hyderabad,2016,107890,Diesel,Manual,First,13.5,2198.0,157.7,7.0,20.5
2396,hyundai i20,Pune,2012,64000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,4.25
2406,toyota fortuner,Jaipur,2015,59000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,23.0
2408,mahindra scorpio,Pune,2014,87200,Diesel,Manual,First,15.4,2523.0,75.0,7.0,7.75
2409,bmw 3,Hyderabad,2012,88000,Diesel,Automatic,First,13.2,1995.0,170.0,5.0,15.0
2410,maruti vitara,Jaipur,2017,48324,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0
2413,hyundai grand,Kochi,2017,20773,Diesel,Manual,First,24.0,1186.0,73.97,5.0,5.92
2414,volkswagen polo,Kolkata,2016,22000,Diesel,Manual,First,20.14,1498.0,88.0,5.0,6.29
2420,toyota fortuner,Pune,2014,102000,Diesel,Automatic,Second & Above,12.55,2982.0,168.5,7.0,16.5
2423,bmw 3,Mumbai,2013,25000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,17.99
2424,hyundai i20,Jaipur,2013,51873,Diesel,Manual,First,21.9,1396.0,88.76,5.0,3.9
2425,ford figo,Chennai,2012,72500,Diesel,Manual,First,18.5,1399.0,68.0,5.0,3.12
2429,mercedes-benz new,Coimbatore,2018,23152,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.22
2431,toyota fortuner,Mumbai,2010,122000,Diesel,Manual,Second & Above,11.5,2982.0,171.0,7.0,10.45
2433,ford figo,Kolkata,2011,60000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.25
2440,maruti baleno,Delhi,2017,33000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.96
2443,volkswagen polo,Delhi,2012,68038,Diesel,Manual,First,20.14,1498.0,88.0,5.0,3.6
2444,chevrolet beat,Coimbatore,2014,55012,Diesel,Manual,Second & Above,25.44,936.0,57.6,5.0,3.7
2445,bmw 5,Ahmedabad,2013,55000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,21.75
2450,tata indica,Kolkata,2009,75648,Diesel,Manual,First,13.5,1405.0,123.95847826488415,5.0,0.82
2451,maruti swift,Jaipur,2016,80000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.5
2452,hyundai xcent,Mumbai,2017,69000,Diesel,Manual,First,25.4,1186.0,73.97,5.0,3.55
2455,toyota fortuner,Delhi,2017,40000,Diesel,Automatic,First,12.9,2755.0,174.5,7.0,30.0
2459,ford ecosport,Mumbai,2017,30000,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.99
2463,toyota innova,Delhi,2012,62000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,7.75
2465,toyota fortuner,Bangalore,2014,171000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,16.75
2467,maruti sx4,Chennai,2016,41000,Diesel,Manual,First,22.7,1598.0,118.0,5.0,7.7
2469,maruti swift,Jaipur,2015,144000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,5.25
2470,bmw 3,Kochi,2017,23806,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,33.66
2473,maruti ciaz,Coimbatore,2018,68737,Diesel,Manual,First,26.21,1248.0,88.5,5.0,9.32
2476,toyota innova,Delhi,2014,77795,Diesel,Manual,First,12.99,2494.0,100.6,8.0,9.5
